RUN_ID,SERIES_LABEL,SAMPLE_MODE,SAMPLE_FACTOR_M,SAMPLE_CAP,THREAD_COUNT,SEED,FULL_MATERIAL,ITERATION,TRUE_KEY,K4,K3,K2,K1,PREFIX_ALPHA,PREFIX_BETA,PREFIX_DELTA_ABS_VALUE,PREFIX_DELTA_ABS_NUMERATOR,PREFIX_DELTA_ABS_DENOMINATOR,PREFIX_DELTA_ABS_FRACTION,PREFIX_DELTA_SIGNED_VALUE,PREFIX_DELTA_SIGNED_NUMERATOR,PREFIX_DELTA_SIGNED_DENOMINATOR,PREFIX_DELTA_SIGNED_FRACTION,PREFIX_MAX_PAIR_COUNT_TOL_2_NEG_15,PREFIX_MAX_SIGNED_VALUE_MIN_TOL,PREFIX_MAX_SIGNED_VALUE_MAX_TOL,SAMPLE_COUNT,TRUE_KEY_LAST_ROUND_K1,TRUE_KEY_LAST_ROUND_K2,TRUE_DELTA_SIGNED_VALUE,TRUE_DELTA_SIGNED_NUMERATOR,TRUE_DELTA_SIGNED_DENOMINATOR,TRUE_DELTA_SIGNED_FRACTION,TRUE_RANK,FALSE_DELTA_SIGNED_MEAN_VALUE,FALSE_DELTA_SIGNED_MEAN_NUMERATOR,FALSE_DELTA_SIGNED_MEAN_DENOMINATOR,FALSE_DELTA_SIGNED_MEAN_FRACTION,BEST_GUESS_K1,BEST_GUESS_K2,BEST_DELTA_SIGNED_VALUE,BEST_DELTA_SIGNED_NUMERATOR,BEST_DELTA_SIGNED_DENOMINATOR,BEST_DELTA_SIGNED_FRACTION,BEST_TIE_COUNT,TRUE_IN_BEST_TIES,MAX_ABS_DELTA_SIGNED_MIN_VALUE,MAX_ABS_DELTA_SIGNED_MAX_VALUE,MAX_ABS_DELTA_SIGNED_MIN_NUMERATOR,MAX_ABS_DELTA_SIGNED_MAX_NUMERATOR,MAX_ABS_DELTA_SIGNED_MIN_FRACTION,MAX_ABS_DELTA_SIGNED_MAX_FRACTION,MIN_ABS_DELTA_VALUE,MIN_ABS_DELTA_NUMERATOR,MIN_ABS_DELTA_DENOMINATOR,MIN_ABS_DELTA_FRACTION,DELTA_TIME_SEC,RECOVERY_TIME_SEC,TOTAL_TIME_SEC
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,1,0x89025CC1,0x89,0x02,0x5C,0xC1,0x8100,0xA10D,0.0371093750,2432,65536,2432/2^16,0.0371093750,2432,65536,2432/2^16,1,0.0371093750,0.0371093750,7262,0xC1,0x5C,-0.0443404021,-322,7262,-322/7262,12,0.0000006766,322,475915170,322/475915170,0xC9,0xDC,0.0539796199,392,7262,392/7262,1,0,0.0539796199,0.0539796199,392,392,392/7262,392/7262,0.0000000000,0,7262,0/7262,0.0000,0.0153,0.0156
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,2,0x658EEC67,0x65,0x8E,0xEC,0x67,0x0D01,0x0A81,0.0318603516,2088,65536,2088/2^16,0.0318603516,2088,65536,2088/2^16,1,0.0318603516,0.0318603516,9852,0x67,0xEC,-0.0326837190,-322,9852,-322/9852,65,0.0000004987,322,645650820,322/645650820,0x6B,0x0C,-0.0353227771,-348,9852,-348/9852,16,0,-0.0353227771,-0.0353227771,-348,-348,-348/9852,-348/9852,0.0000000000,0,9852,0/9852,0.0000,0.0195,0.0197
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,3,0xFB32555E,0xFB,0x32,0x55,0x5E,0x610C,0xC10F,0.0305175781,2000,65536,2000/2^16,-0.0305175781,-2000,65536,-2000/2^16,1,-0.0305175781,-0.0305175781,10738,0x5E,0x55,0.0316632520,340,10738,340/10738,89,-0.0000004832,-340,703714830,-340/703714830,0x5F,0x0D,-0.0456323338,-490,10738,-490/10738,1,0,-0.0456323338,-0.0456323338,-490,-490,-490/10738,-490/10738,0.0000000000,0,10738,0/10738,0.0000,0.0217,0.0220
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,4,0xEE42C90B,0xEE,0x42,0xC9,0x0B,0xE100,0x810E,0.0364990234,2392,65536,2392/2^16,-0.0364990234,-2392,65536,-2392/2^16,1,-0.0364990234,-0.0364990234,7507,0x0B,0xC9,0.0251765019,189,7507,189/7507,2392,-0.0000003842,-189,491971245,-189/491971245,0xB3,0xD2,0.0528839750,397,7507,397/7507,1,0,0.0528839750,0.0528839750,397,397,397/7507,397/7507,0.0001332090,1,7507,1/7507,0.0000,0.0157,0.0159
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,5,0xD101B5B9,0xD1,0x01,0xB5,0xB9,0x0901,0x0AB1,0.0320434570,2100,65536,2100/2^16,-0.0320434570,-2100,65536,-2100/2^16,1,-0.0320434570,-0.0320434570,9740,0xB9,0xB5,0.0515400411,502,9740,502/9740,1,-0.0000007865,-502,638310900,-502/638310900,0xB9,0xB5,0.0515400411,502,9740,502/9740,1,1,0.0515400411,0.0515400411,502,502,502/9740,502/9740,0.0000000000,0,9740,0/9740,0.0000,0.0191,0.0193
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,6,0x90150280,0x90,0x15,0x02,0x80,0x0F40,0x0060,0.0327758789,2148,65536,2148/2^16,-0.0327758789,-2148,65536,-2148/2^16,1,-0.0327758789,-0.0327758789,9309,0x80,0x02,0.0353421420,329,9309,329/9309,17,-0.0000005393,-329,610065315,-329/610065315,0x2E,0x0E,-0.0374906005,-349,9309,-349/9309,16,0,-0.0374906005,-0.0374906005,-349,-349,-349/9309,-349/9309,0.0001074229,1,9309,1/9309,0.0000,0.0124,0.0126
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,7,0xD7363CA5,0xD7,0x36,0x3C,0xA5,0x0501,0x0100,0.0340576172,2232,65536,2232/2^16,0.0340576172,2232,65536,2232/2^16,1,0.0340576172,0.0340576172,8622,0xA5,0x3C,-0.0273718395,-236,8622,-236/8622,1,0.0000004177,236,565042770,236/565042770,0x05,0x00,-0.0273718395,-236,8622,-236/8622,8192,8192,-0.0273718395,-0.0273718395,-236,-236,-236/8622,-236/8622,0.0000000000,0,8622,0/8622,0.0000,0.0177,0.0179
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,8,0x12278575,0x12,0x27,0x85,0x75,0x0701,0x0081,0.0277099609,1816,65536,1816/2^16,0.0277099609,1816,65536,1816/2^16,1,0.0277099609,0.0277099609,13024,0x75,0x85,-0.0316339066,-412,13024,-412/13024,49,0.0000004827,412,853527840,412/853527840,0x00,0x07,-0.0360872236,-470,13024,-470/13024,16,0,-0.0360872236,-0.0360872236,-470,-470,-470/13024,-470/13024,0.0000000000,0,13024,0/13024,0.0000,0.0213,0.0216
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,9,0x357E3DA8,0x35,0x7E,0x3D,0xA8,0x4100,0xC004,0.0327148438,2144,65536,2144/2^16,0.0327148438,2144,65536,2144/2^16,1,0.0327148438,0.0327148438,9344,0xA8,0x3D,-0.0145547945,-136,9344,-136/9344,11118,0.0000002221,136,612359040,136/612359040,0x74,0xBF,0.0434503425,406,9344,406/9344,1,0,0.0434503425,0.0434503425,406,406,406/9344,406/9344,0.0000000000,0,9344,0/9344,0.0000,0.0189,0.0192
adaptive_m10,adaptive_m10,adaptive_random_without_replacement,10.000000,65536,16,1,no,10,0x74616796,0x74,0x61,0x67,0x96,0x6100,0x0103,0.0269775391,1768,65536,1768/2^16,-0.0269775391,-1768,65536,-1768/2^16,1,-0.0269775391,-0.0269775391,13741,0x96,0x67,0.0303471363,417,13741,417/13741,31,-0.0000004631,-417,900516435,-417/900516435,0xD3,0xBF,-0.0399534241,-549,13741,-549/13741,1,0,-0.0399534241,-0.0399534241,-549,-549,-549/13741,-549/13741,0.0000727749,1,13741,1/13741,0.0000,0.0271,0.0274
